"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"30","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","39","Parameter 'homeLoan' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"31","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","39","Parameter 'result' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"32","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","40","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"33","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","41","Local variable 'accountNumber' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"34","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","44","Local variable 'loanAccNum' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"35","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","45","Avoid variables with short names like id","Naming Rules","ShortVariable"
"36","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","45","Local variable 'id' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"37","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","55","Avoid excessively long variable names like constraintViolations","Naming Rules","LongVariable"
"38","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","55","Local variable 'constraintViolations' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"39","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","56","Local variable 'iterator' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"40","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","69","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"41","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","72","Avoid variables with short names like sb","Naming Rules","ShortVariable"
"42","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","80","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"43","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","87","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"44","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","91","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"45","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","25","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"46","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"47","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","27","Avoid excessively long variable names like transactionDetails","Naming Rules","LongVariable"
"48","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","27","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"49","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","32","Parameter 'AccName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"50","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","32","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"51","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","40","Avoid excessively long variable names like transactionDetails","Naming Rules","LongVariable"
"52","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","40","Parameter 'transactionDetails' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"53","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","41","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"54","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","41","Parameter 'msg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"55","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","42","Local variable 'accountNumber' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"56","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","53","Avoid excessively long variable names like constraintViolations","Naming Rules","LongVariable"
"57","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","53","Local variable 'constraintViolations' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"58","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","54","Local variable 'iterator' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"59","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","56","Local variable 'next' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"60","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","70","Avoid variables with short names like s","Naming Rules","ShortVariable"
"61","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","70","Local variable 's' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"62","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","71","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"63","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","71","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"64","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","72","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"65","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","79","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"66","com.cognizant.controller","src/com/cognizant/controller/PerformTransactionController.java","3","85","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"67","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","4","6","Avoid unused imports such as 'javax.servlet.http.HttpServletRequest'","Import Statement Rules","UnusedImports"
"68","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","4","6","Avoid unused imports such as 'javax.servlet.http.HttpServletRequest'","Import Statement Rules","UnusedImports"
"69","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","4","18","Avoid unused imports such as 'com.cognizant.entity.EducationLoan'","Import Statement Rules","UnusedImports"
"70","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","4","18","Avoid unused imports such as 'com.cognizant.entity.EducationLoan'","Import Statement Rules","UnusedImports"
"71","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","22","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"72","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"73","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","25","Parameter 'AccNo' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"74","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","25","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"75","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","29","Local variable 'accountNumber' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"76","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","30","Local variable 'userDetails' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"77","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","36","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"78","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","36","Parameter 'msg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"79","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","40","Local variable 'accountNumber' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"80","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","44","Local variable 'userDetails' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"81","com.cognizant.controller","src/com/cognizant/controller/UserLoginController.java","3","46","Local variable 'List' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"82","com.cognizant.controller","src/com/cognizant/controller/ViewEducationLoanController.java","3","21","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"83","com.cognizant.controller","src/com/cognizant/controller/ViewEducationLoanController.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"84","com.cognizant.controller","src/com/cognizant/controller/ViewEducationLoanController.java","3","23","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"85","com.cognizant.controller","src/com/cognizant/controller/ViewEducationLoanController.java","3","28","Parameter 'AccName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"86","com.cognizant.controller","src/com/cognizant/controller/ViewEducationLoanController.java","3","28","Parameter 'AccNo' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"87","com.cognizant.controller","src/com/cognizant/controller/ViewEducationLoanController.java","3","28","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"88","com.cognizant.controller","src/com/cognizant/controller/ViewEducationLoanController.java","3","36","Parameter 'msg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"89","com.cognizant.controller","src/com/cognizant/controller/ViewEducationLoanController.java","3","37","Local variable 'accountNumber' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"90","com.cognizant.controller","src/com/cognizant/controller/ViewEducationLoanController.java","3","42","Local variable 'eduLoan' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"91","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","4","11","Avoid unused imports such as 'com.cognizant.entity.UserDetails'","Import Statement Rules","UnusedImports"
"92","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","4","11","Avoid unused imports such as 'com.cognizant.entity.UserDetails'","Import Statement Rules","UnusedImports"
"93","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","3","23","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"94","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","3","24","Avoid excessively long variable names like viewHomeLoanService","Naming Rules","LongVariable"
"95","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"96","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"97","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","3","25","Perhaps 'homeLoans' could be replaced by a local variable.","Design Rules","SingularField"
"98","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","3","30","Parameter 'AccName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"99","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","3","30","Parameter 'AccNo' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"100","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","3","30","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"101","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","3","37","Parameter 'msg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"102","com.cognizant.controller","src/com/cognizant/controller/ViewHomeLoanController.java","3","38","Local variable 'accountNumber' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"103","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","20","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"104","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"105","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","22","Avoid excessively long variable names like transactionDetails","Naming Rules","LongVariable"
"106","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","22","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"107","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","27","Parameter 'AccName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"108","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","27","Parameter 'AccNo' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"109","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","27","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"110","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","35","Parameter 'msg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"111","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","36","Local variable 'accountNumber' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"112","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","40","Avoid excessively long variable names like transactionDetailsList","Naming Rules","LongVariable"
"113","com.cognizant.controller","src/com/cognizant/controller/ViewTransactionController.java","3","40","Local variable 'transactionDetailsList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"114","com.cognizant.dao","src/com/cognizant/dao/ApplicationDAO.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"115","com.cognizant.dao","src/com/cognizant/dao/ApplyEducationLoanDAO.java","3","18","Avoid variables with short names like em","Naming Rules","ShortVariable"
"116","com.cognizant.dao","src/com/cognizant/dao/ApplyEducationLoanDAO.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"117","com.cognizant.dao","src/com/cognizant/dao/ApplyEducationLoanDAO.java","3","21","Parameter 'user' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"118","com.cognizant.dao","src/com/cognizant/dao/ApplyEducationLoanDAO.java","3","29","Avoid variables with short names like i","Naming Rules","ShortVariable"
"119","com.cognizant.dao","src/com/cognizant/dao/ApplyEducationLoanDAO.java","3","29","Parameter 'i' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"120","com.cognizant.dao","src/com/cognizant/dao/ApplyEducationLoanDAO.java","3","31","Local variable 'user' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"121","com.cognizant.dao","src/com/cognizant/dao/ApplyHomeLoanDao.java","3","17","Avoid variables with short names like em","Naming Rules","ShortVariable"
"122","com.cognizant.dao","src/com/cognizant/dao/ApplyHomeLoanDao.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"123","com.cognizant.dao","src/com/cognizant/dao/ApplyHomeLoanDao.java","3","20","Parameter 'userDetails' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"124","com.cognizant.dao","src/com/cognizant/dao/ApplyHomeLoanDao.java","3","27","Avoid variables with short names like l","Naming Rules","ShortVariable"
"125","com.cognizant.dao","src/com/cognizant/dao/ApplyHomeLoanDao.java","3","27","Parameter 'l' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"126","com.cognizant.dao","src/com/cognizant/dao/ApplyHomeLoanDao.java","3","28","Local variable 'retrive' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"127","com.cognizant.dao","src/com/cognizant/dao/PerformTransactionDAO.java","3","22","Avoid variables with short names like em","Naming Rules","ShortVariable"
"128","com.cognizant.dao","src/com/cognizant/dao/PerformTransactionDAO.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"129","com.cognizant.dao","src/com/cognizant/dao/PerformTransactionDAO.java","3","24","Parameter 'accountNumber' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"130","com.cognizant.dao","src/com/cognizant/dao/PerformTransactionDAO.java","3","25","Local variable 'user' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"131","com.cognizant.dao","src/com/cognizant/dao/PerformTransactionDAO.java","3","30","Parameter 'accountNumber' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"132","com.cognizant.dao","src/com/cognizant/dao/PerformTransactionDAO.java","3","32","Local variable 'user' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"133","com.cognizant.dao","src/com/cognizant/dao/PerformTransactionDAO.java","3","35","Local variable 'transaction' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"134","com.cognizant.dao","src/com/cognizant/dao/PerformTransactionDAO.java","3","36","Consider simply returning the value vs storing it in local variable 'transaction'","Design Rules","UnnecessaryLocalBeforeReturn"
"135","com.cognizant.dao","src/com/cognizant/dao/UserDetailsDAO.java","3","15","Avoid variables with short names like em","Naming Rules","ShortVariable"
"136","com.cognizant.dao","src/com/cognizant/dao/UserDetailsDAO.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"137","com.cognizant.dao","src/com/cognizant/dao/UserDetailsDAO.java","3","18","Avoid variables with short names like u","Naming Rules","ShortVariable"
"138","com.cognizant.dao","src/com/cognizant/dao/UserDetailsDAO.java","3","18","Parameter 'u' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"139","com.cognizant.dao","src/com/cognizant/dao/UserDetailsDAO.java","3","23","Avoid variables with short names like l","Naming Rules","ShortVariable"
"140","com.cognizant.dao","src/com/cognizant/dao/UserDetailsDAO.java","3","23","Parameter 'l' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"141","com.cognizant.dao","src/com/cognizant/dao/UserDetailsDAO.java","3","25","Local variable 'retrive' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"142","com.cognizant.dao","src/com/cognizant/dao/ViewEducationLoanDAO.java","3","20","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"143","com.cognizant.dao","src/com/cognizant/dao/ViewEducationLoanDAO.java","3","21","Avoid variables with short names like em","Naming Rules","ShortVariable"
"144","com.cognizant.dao","src/com/cognizant/dao/ViewEducationLoanDAO.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"145","com.cognizant.dao","src/com/cognizant/dao/ViewEducationLoanDAO.java","3","24","Avoid variables with short names like i","Naming Rules","ShortVariable"
"146","com.cognizant.dao","src/com/cognizant/dao/ViewEducationLoanDAO.java","3","24","Parameter 'i' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"147","com.cognizant.dao","src/com/cognizant/dao/ViewEducationLoanDAO.java","3","27","Local variable 'retrive' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"148","com.cognizant.dao","src/com/cognizant/dao/ViewHomeLoanDao.java","4","3","Avoid unused imports such as 'java.util.ArrayList'","Import Statement Rules","UnusedImports"
"149","com.cognizant.dao","src/com/cognizant/dao/ViewHomeLoanDao.java","4","3","Avoid unused imports such as 'java.util.ArrayList'","Import Statement Rules","UnusedImports"
"150","com.cognizant.dao","src/com/cognizant/dao/ViewHomeLoanDao.java","3","21","Avoid variables with short names like em","Naming Rules","ShortVariable"
"151","com.cognizant.dao","src/com/cognizant/dao/ViewHomeLoanDao.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"152","com.cognizant.dao","src/com/cognizant/dao/ViewHomeLoanDao.java","3","24","Avoid variables with short names like l","Naming Rules","ShortVariable"
"153","com.cognizant.dao","src/com/cognizant/dao/ViewHomeLoanDao.java","3","24","Parameter 'l' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"154","com.cognizant.dao","src/com/cognizant/dao/ViewHomeLoanDao.java","3","26","Local variable 'retrive' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"155","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","34","Avoid excessively long variable names like eduLoanAccountNumber","Naming Rules","LongVariable"
"156","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","36","The String literal 'Mandatory field' appears 5 times in this file; the first occurrence is on line 36","String and StringBuffer Rules","AvoidDuplicateLiterals"
"157","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","54","Avoid excessively long variable names like fatherAnnualIncome","Naming Rules","LongVariable"
"158","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","83","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"159","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","98","Avoid excessively long variable names like fatherAnnualIncome","Naming Rules","LongVariable"
"160","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","98","Parameter 'eduLoanAmount' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"161","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","98","Parameter 'eduLoanDuration' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"162","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","98","Parameter 'fatherAnnualIncome' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"163","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","98","Parameter 'loanApplyDate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"164","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","99","Parameter 'courseFee' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"165","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","126","Avoid excessively long variable names like eduLoanAccountNumber","Naming Rules","LongVariable"
"166","com.cognizant.entity","src/com/cognizant/entity/EducationLoan.java","3","158","Avoid excessively long variable names like fatherAnnualIncome","Naming Rules","LongVariable"
"167","com.cognizant.entity","src/com/cognizant/entity/HomeLoan.java","4","12","Avoid unused imports such as 'javax.validation.constraints.Max'","Import Statement Rules","UnusedImports"
"168","com.cognizant.entity","src/com/cognizant/entity/HomeLoan.java","4","12","Avoid unused imports such as 'javax.validation.constraints.Max'","Import Statement Rules","UnusedImports"
